numOrder;customer;tarif;ip_address;gateway;netmask;subnet;broadcast;vlan_id;customer_port;termination_point
2144;УГАДН по Самарской области;Скорость-20480;46.29.77.231;46.29.77.225;255.255.255.240;46.29.77.224/28;46.29.77.239;2;EC 10.30.13.74 - port 1;cisco 10.30.0.10
;Тестовая сеть;;46.29.72.46;46.29.72.45;255.255.255.252;46.29.72.44/30;46.29.72.47;6;;cisco 10.30.0.240
23;Реммаш-Сервис;Скорость-1024;46.29.73.10;46.29.73.9;255.255.255.252;141.0.183.48/28;46.29.73.11;11;EC 10.30.11.194 - port 1;Cisco 3750 10.30.0.4 port 3g
25;"ООО ""Далмэкс Трейд""";Скорость-1536;46.29.73.14;46.29.73.13;255.255.255.252;46.29.73.12/30;46.29.73.15;14;EC 10.30.11.194 - port 4;Cisco 3750 10.30.0.4 port 3g
;IPTV-сервер;;;;;Без сети;;15;;
2804;ООО ЕвроКом;Скорость-4096;46.29.73.150;46.29.73.149;255.255.255.252;46.29.73.148/30;46.29.73.151;17;EC 10.30.11.194 - port 7;Cisco 3750 10.30.0.4 port 3g
58;"ООО ""ОргТехСервис""";Скорость-1024;46.29.73.46;46.29.73.45;255.255.255.252;46.29.73.44/30;46.29.73.47;18;EC 10.30.11.194 - port 8;Cisco 3750 10.30.0.4 port 3g
34;"ООО ""Дольче Вита""";Скорость-2048;46.29.76.178;46.29.76.177;255.255.255.252;46.29.76.176/30;46.29.76.179;19;EC 10.30.11.203 - port 1;Cisco 3750 10.30.0.4 port 3g
34;"ООО ""Дольче Вита""";Скорость-512;46.29.76.182;46.29.76.181;255.255.255.252;46.29.76.180/30;46.29.76.183;19;EC 10.30.11.203 - port 15;Cisco 3750 10.30.0.4 port 3g
239;"ООО ""Адверс""";Скорость-6144;46.29.75.198;46.29.75.197;255.255.255.252;46.29.75.196/30;46.29.75.199;24;EC 10.30.11.211 - port 9;Cisco 3750 10.30.0.8 port 21
2185;ООО Аврора (быв.Мониторинг Самара);Скорость-6144;46.29.74.42;46.29.74.41;255.255.255.248;46.29.74.42/32;46.29.74.47;27;EC 10.30.13.25 - port 2;Cisco 3750 10.30.0.4 port 12
2185;ООО Аврора (быв.Мониторинг Самара);Скорость-6144;46.29.74.44;46.29.74.41;255.255.255.248;46.29.74.44/32;46.29.74.47;27;EC 10.30.13.25 - port 1;Cisco 3750 10.30.0.4 port 12
103;"ЗАО ""Банк Русский Стандарт""";Фактический Ultra;46.29.76.134;46.29.76.133;255.255.255.252;46.29.76.132/30;46.29.76.135;32;EC 10.30.11.194 - port 40;Cisco 3750 10.30.0.4 port 3g
57;Инициатива;Скорость-1024;46.29.73.42;46.29.73.41;255.255.255.252;46.29.73.40/30;46.29.73.43;33;EC 10.30.11.194 - port 14;Cisco 3750 10.30.0.4 port 3g
;Свободен (был OSPF между 0.4 и 0.35);;;;;46.29.72.90/30;;35;;
;OSPF между 0.118 и 0.235;;;;;46.29.72.112/30;;38;;
;Максимов Константин;Безлимит;46.29.73.58;46.29.73.57;255.255.255.252;46.29.73.56/30;46.29.73.59;39;EC 10.30.0.250 - port 3;Eltex 10.30.0.195
62;"ООО ""ПланетаСтрой""";Скорость-2048;46.29.73.62;46.29.73.61;255.255.255.252;46.29.73.60/30;46.29.73.63;41;EC 10.31.11.203 - port 5;Cisco 3750 10.30.0.4 port 3g
;Тест BGP;;46.29.72.117;46.29.72.118;;46.29.72.116/30;46.29.72.119;42;;
;OSPF;;;;;46.29.72.52/30;;45;;
;OSPF между 0.195 и 0.8;;;;;46.29.72.56/30;;47;;
3076;Сервисная компания;Скорость - 8М;46.29.73.186;46.29.73.185;255.255.255.252;46.29.73.160/30;46.29.73.163;48;EC 10.30.14.79 - port 1;cisco 10.30.0.121
2683;ООО КонсультантПлюс Самара;Скорость-4096;46.29.73.66;46.29.73.65;255.255.255.252;46.29.73.64/30;46.29.73.67;49;EC 10.30.11.194 - port 15;Eltex 10.30.0.195
1259;"ООО ""Грузсервис"" (был ООО Грузпром), проблемы с сеткой";Скорость-1024;46.29.73.134;46.29.73.133;255.255.255.252;46.29.73.132/30;46.29.73.135;53;EC 10.31.11.202 - port 6;Cisco 3750 10.30.0.4 port 12
3053;ОАО АГК;Скорость-7М;46.29.73.218;46.29.73.217;255.255.255.252;46.29.73.216/30;46.29.73.219;54;EC 10.31.13.25 - port 4;Eltex 10.30.0.195
1986;ООО АН От и До;Скорость-1024;46.29.73.74;46.29.73.73;255.255.255.252;46.29.73.72/30;46.29.73.75;55;EC 10.30.14.127 - port 1;Cisco 3750 10.30.0.4 port 12
85;"ООО ""РОСТА""";Скорость-512;46.29.73.86;46.29.73.85;255.255.255.252;46.29.73.84/30;46.29.73.87;57;EC 10.31.11.203 - port 8;Cisco 3750 10.30.0.4 port 3g
89;ИП Яндуков С.С.;Скорость-1024;46.29.73.90;46.29.73.89;255.255.255.252;46.29.73.88/30;46.29.73.91;58;EC 10.31.11.203 - port 7;Cisco 3750 10.30.0.4 port 3g
;OSPF between 0.121 and 0.240;;46.29.75.221;46.29.75.222;255.255.255.252;46.29.75.220/30;46.29.75.223;60;cisco 10.30.0.121;cisco 10.30.0.240
;OSPF between 0.27 and 0.235;;;;;46.29.72.92/30;;61;;
545;"ООО ""Рекламное агентство ""Радио Мегаполис""";Скорость-5120;46.29.73.102;46.29.73.101;255.255.255.252;46.29.73.100/30;46.29.73.103;64;EC 10.30.11.209 - port 19;Cisco 3750 10.30.0.4 port 11
438;"Филиал ЗАО  ""Поволжский Страховой Альянс""";Скорость-10240;46.29.73.34;46.29.73.33;255.255.255.252;46.29.78.32/27;46.29.73.35;71;EC 10.30.11.204 - port 12;Cisco 3750 10.30.0.8 port 23
140;"ООО ""ВСП""";Скорость-5120;46.29.76.138;46.29.76.137;255.255.255.252;46.29.76.136/30;46.29.76.139;72;EC 10.30.11.212 - port 4;Cisco 3750 10.30.0.8 port 19
100;ООО АС-Бизнес;Скорость-2048;46.29.73.122;46.29.73.121;255.255.255.252;46.29.73.120/30;46.29.73.123;73;EC 10.30.11.93 - port 4;Cisco 3750 10.30.0.4 port 3g
106;ИП Силаева Н.И.;Скорость-512;46.29.76.122;46.29.76.121;255.255.255.252;46.29.76.120/30;46.29.76.123;76;EC 10.30.11.203 - port 10;Cisco 3750 10.30.0.4 port 3g
;Канал от Жигулей для туннелей;;;;;;;77;;
32;ИП Антипов Виктор Николаевич;Скорость-1024;46.29.76.94;46.29.76.93;255.255.255.252;46.29.76.92/30;46.29.76.95;79;EC 10.30.11.194 - port 19;Cisco 3750 10.30.0.4 port 3g
281;"ООО ""Антико-Трейд""";Скорость-1024;46.29.76.30;46.29.76.29;255.255.255.252;46.29.78.0/27;46.29.76.31;83;EdgeCORE (10.30.0.227) - port 2;Cisco 3750 10.30.0.2
111;"ООО ""ПРАНАФАРМ""";VIP-4 (5-20);46.29.73.142;46.29.73.141;255.255.255.252;46.29.73.140/30;46.29.73.143;86;EC 10.30.11.211 - port 4;Cisco 3750 10.30.0.8 port 21
103;"ЗАО ""Банк Русский Стандарт"" (Аврора 150)";Скорость-256;46.29.76.130;46.29.76.129;255.255.255.252;46.29.76.128/30;46.29.76.131;91;EC 10.30.11.210 - port 1;Eltex 10.30.0.195
202;"ОАО ""Первобанк""";Скорость-512;46.29.73.118;46.29.73.117;255.255.255.252;46.29.73.116/30;46.29.73.119;94;EC 10.30.11.211 - port 9;Cisco 3750 10.30.0.8 port 21
661;"Государственное учреждение культуры ""Самарская государственная филармония""";Скорость-10240;46.29.73.162;46.29.73.161;255.255.255.252;46.29.78.160/30;46.29.78.163;95;EC 10.30.11.234 - port 1;Cisco 3750 10.30.0.10 port 6
118;ИП Ворожейкин И.П.;Скорость-256;46.29.73.158;46.29.73.157;255.255.255.252;46.29.73.156/30;46.29.73.159;96;EdgeCORE (10.30.0.203) - port 11;CISCO 3750 12s-sd (10.30.0.2) - C3750G (10.30.0.3-Port22) - Ae45 - EC(10.30.0.4) - port 27
146;"ООО Группа компаний""ФБР""";Скорость-5120;46.29.73.226;46.29.73.225;255.255.255.252;46.29.73.224/30;46.29.73.227;99;EC 10.30.11.204 - port 9;Cisco 3750 10.30.0.8 port 23
121;"ООО ""Линзмастер""";Бизнес;46.29.73.166;46.29.73.165;255.255.255.252;46.29.73.164/30;46.29.73.167;107;EC10.30.11.203 - port 12;Cisco 3750 10.30.0.4 port 3g
;Стык с Мегафон по BGP;Скорость-400Мбит;Канал связи;;;;;111;Extreme 10.30.0.35 port 26;
1351;Алвин Самара;Скорость-1024;46.29.75.6;46.29.75.5;255.255.255.252;46.29.75.4/30;46.29.75.7;112;EC 10.30.11.203 - port 13;Cisco 3750 10.30.0.4 port 3g
658;"ООО ""Пронто - Самара""";Скорость-15360;46.29.74.34-38;46.29.74.33;255.255.255.248;46.29.78.0/27;46.29.74.39;114;EC 10.30.11.170 - port 1;Cisco 3750 10.30.0.2
231;"ООО ""Автодор""";Скорость-512;46.29.75.174;46.29.75.173;255.255.255.252;46.29.75.172/30;46.29.75.175;115;EC 10.30.11.222 - port 1;Cisco 3750 10.30.0.2
168;"ООО ""ТРЭК""";Скорость-512;46.29.75.22;46.29.75.21;255.255.255.252;46.29.75.20/30;46.29.75.23;118;EC 10.30.11.212 - port 3;Cisco 3750 10.30.0.8 port 19
753;ООО Перспектива;Скорость-512;46.29.76.98;46.29.76.97;255.255.255.252;46.29.76.96/30;46.29.76.99;122;EC 10.30.11.217 - port 1;Cisco 3750 10.30.0.19 port 9
753;ООО Перспектива;Скорость-2048;46.29.76.102;46.29.76.101;255.255.255.252;46.29.76.100/30;46.29.76.103;123;EC 10.30.11.217 - port 2;Cisco 3750 10.30.0.19 port 9
303;ИП Шурухин Д.А.;Скорость-8196;46.29.75.42;46.29.75.41;255.255.255.252;46.29.75.40/30;46.29.75.43;124;EC 10.30.13.10 - port 1;Cisco 3750 10.30.0.19
203;"ООО ""ФАРМ СКД""";Скорость-5120;46.29.74.66-70;46.29.74.65;255.255.255.248;46.29.74.64/29;46.29.74.71;126;EC 10.30.11.224 - port 1;Cisco 3750 10.30.0.4 port 15
182;"РооЛЖ ""Счастливая планета""";Скорость-512;46.29.75.58;46.29.75.57;255.255.255.252;46.29.75.56/30;46.29.75.59;128;EC 10.30.11.219 - port 4;Cisco 3750 10.30.0.8 port 17
2641;ООО Наука ПЦР;Скорость-6144;46.29.75.66;46.29.75.65;255.255.255.252;46.29.75.64/30;46.29.75.67;130;EC 10.30.11.211 - port 5;Cisco 3750 10.30.0.8 port 21
201;"ООО ""БМВ и К""";Скорость-1024;46.29.75.98;46.29.75.97;255.255.255.252;46.29.79.161/27;46.29.79.191;137;EC 10.30.11.204 - port 2;Cisco 3750 10.30.0.8 port 23
;Ренессанс-ТВ;;;;;;;139;;
207;Комплит;Скорость - 10М;46.29.74.106;46.29.74.105;255.255.255.248;46.29.74.105/29;46.29.74.111;140;EC 10.30.12.236 - port 1;cisco 10.30.0.10
207;Комплит;Скорость - 10М;46.29.74.107;46.29.74.105;255.255.255.248;46.29.74.105/29;46.29.74.111;140;EC 10.30.12.236 - port 1;cisco 10.30.0.10
207;Комплит;Скорость - 10М;46.29.74.108;46.29.74.105;255.255.255.248;46.29.74.105/29;46.29.74.111;140;EC 10.30.12.236 - port 1;cisco 10.30.0.10
207;Комплит;Скорость - 10М;46.29.74.109;46.29.74.105;255.255.255.248;46.29.74.105/29;46.29.74.111;140;EC 10.30.12.236 - port 1;cisco 10.30.0.10
207;Комплит;Скорость - 10М;46.29.74.110;46.29.74.105;255.255.255.248;46.29.74.105/29;46.29.74.111;140;EC 10.30.12.236 - port 1;cisco 10.30.0.10
523;"ЗАО ""КИА Центр на Московском""";Скорость-4096;46.29.74.146-159;46.29.74.145;255.255.255.240;46.29.74.144/28;46.29.74.160;143;EC 10.30.11.169 - port 3;Cisco 3750 10.30.0.4 port 6
895;ООО Висма-Торг;Скорость-1024;46.29.75.38;46.29.75.37;255.255.255.252;46.29.75.36/30;46.29.75.39;149;EdgeCORE 10.30.11.212 -port 5;3750G (10.30.0.3-Port11) - VSP
311;ИП Мигеркин Р.И.;Скорость-512;46.29.76.78;46.29.76.77;255.255.255.252;46.29.76.76/30;46.29.76.79;155;EC 10.30.11.203 - port 14;Cisco 3750 10.30.0.4 port 3g
221;"ООО ""А дизайн""";Скорость-2048;46.29.75.142;46.29.75.141;255.255.255.252;46.29.75.140/30;46.29.75.143;158;EC 10.30.11.226 - port 16;Cisco 3750 10.30.0.8 port 21
212;"тест по самсунг(был ООО ""Комус-Приволжье"")";Скорость-1024;46.29.75.122;46.29.75.121;255.255.255.252;46.29.75.120/30;46.29.75.123;159;EC 10.30.11.219 - port 5;Cisco 3750 10.30.0.8 port 17
336;"ЗАО ""КИТ""";Скорость-1024;46.29.75.138;46.29.75.137;255.255.255.252;46.29.75.136/30;46.29.75.139;160;EC 10.30.11.211 - port 8;Cisco 3750 10.30.0.8 port 21
213;ООО АСД;Скорость-8100;46.29.75.126;46.29.75.125;255.255.255.252;46.29.75.124/30;46.29.75.127;161;EC 10.30.11.240 - port 1;Extreme 10.30.0.38
224;"ООО ""Самара XXI""";Скорость-1024;46.29.75.150;46.29.75.149;255.255.255.252;46.29.75.148/30;46.29.75.151;163;EdgeCORE 10.30.11.219 - port 7;C3750G (10.30.0.8-Port17)  -  EdgeCORE (10.30.0.206)
226;"ООО ""СОЮЗОПТТОРГ-САМАРА""";Скорость-512;46.29.75.154;46.29.75.153;255.255.255.252;46.29.75.152/30;46.29.75.155;164;EC 10.30.11.195 - port 1;Cisco 3750 10.30.0.4 port 10
160;"ООО ""ДубльГИС""";Скорость-15360;46.29.75.2;46.29.75.1;255.255.255.252;46.29.75.0/30;46.29.75.3;165;EC 10.30.12.42 - port 1;Cisco 3750 10.30.0.8 port 20
206;"ООО ""Меркурий""";Скорость-512;46.29.76.62;46.29.76.61;255.255.255.252;46.29.76.60/30;46.29.76.63;166;EC 10.30.11.216 - port 2;Cisco 3750 10.30.0.4 port 8
;Wi-FI для Кости Кондрашёва vlan 167 46.29.75.156/30;100 Мбит/с;46.29.75.156;46.29.75.157;255.255.255.252;46.29.75.155/30;46.29.75.158;167;cisco 10.30.0.243 - port 19;Eltex 10.30.0.195
245;Капитал Хаус - WiFi точки;Скорость-1024;46.29.74.74-78;46.29.74.73;255.255.255.248;46.29.74.72/29;46.29.74.79;168;EC 10.30.11.225 - port 3;Cisco 3750 10.30.0.10 port 26
258;"ОАО ""Проектподшипник""";Скорость-1024;46.29.75.242;46.29.75.241;255.255.255.252;46.29.78.0/27;46.29.75.243;170;EC 10.30.11.223 - port 1;Cisco 3750 10.30.0.2
229;"НОУ ""Учебно-сервисный центр""";Скорость-1024;46.29.75.166;46.29.75.165;255.255.255.252;46.29.75.164/30;46.29.75.167;172;EC 10.30.11.94 - port 4;Cisco 3750 10.30.0.2
252;ООО ''Брендлейбл'';Скорость-4096;46.29.75.234;46.29.75.233;255.255.255.252;46.29.78.0/27;46.29.75.235;173;EC 10.30.11.223 - port 2;Cisco 3750 10.30.0.9 port 1
;vlan занят;;;;;;;173;;Cisco 3750 10.30.0.19
1798;Форвард-С;Скорость-4096;46.29.76.2;46.29.76.1;255.255.255.252;46.29.76.0/30;46.29.76.3;174;EC 10.30.11.91 - port 4;Cisco 3750 10.30.0.2
1866;ООО КСС;Скорость-3072;46.29.76.34;46.29.76.33;255.255.255.252;46.29.78.0/27;46.29.76.35;176;EC 10.30.11.153- port 15;Cisco 3750 10.30.0.2
;Управление релейками;;;;;10.30.2.0/24;;177;;Cisco 3750 10.30.0.254
377;"Занят отдан какой-то АЙ-линк (был ООО ЮА ""Советникъ"")";Скорость-256;46.29.77.66;46.29.77.65;255.255.255.252;46.29.77.64/30;46.29.77.67;182;Cisco 10.30.0.9 port 4;Cisco 3750 10.30.0.9
356;Принт-Куйбышева;Скорость-1024;46.29.77.38;46.29.77.37;255.255.255.252;46.29.77.36/30;46.29.77.39;183;EC 10.30.12.193 - port 5;Cisco 3750 10.30.0.10
681;"ООО ""АльфаХим""";Скорость-1024;46.29.77.26;46.29.77.25;255.255.255.252;46.29.77.24/30;46.29.77.27;187;EC 10.30.11.211 - port 6;Cisco 3750 10.30.0.8 port 21
373;"ООО ""ЧОП ""Самара-Защита""";Скорость-1024;46.29.77.6;46.29.77.5;255.255.255.252;46.29.77.4/30;46.29.77.7;192;EC 10.30.11.229 - port 6;Cisco 3750 10.30.0.4 port 4
2314;Абсолют Банк;Скорость-1024;46.29.77.2;46.29.77.1;255.255.255.252;46.29.77.0/30;46.29.77.3/30;193;EC 10.30.12.188 - port 2;Cisco 3750 10.30.0.19
372;"ООО ""Интел-Сервис""";Скорость-512;46.29.76.254;46.29.76.253;255.255.255.252;46.29.76.252/30;46.29.76.255;194;EC 10.30.11.219 - port 6;Cisco 3750 10.30.0.8 port 17
354;"ООО ""Диверс Моторс Авто""";Скорость-4096;46.29.74.10-14;46.29.74.9;255.255.255.248;46.29.74.8/29;46.29.74.15;196;EC 10.30.11.210 - port 6;Cisco 3750 10.30.0.4 port 13
;ИП Быкова;Скорость-512;46.29.76.242;46.29.76.241;255.255.255.252;46.29.76.240/30;46.29.76.243;197;EC 10.30.12.193/8;Cisco 3750 10.30.0.10
508;"ООО ""Компания ""Тензор""";Скорость-2048;46.29.74.2-6;46.29.74.1;255.255.255.248;46.29.74.0/29;46.29.72.7;198;EC 10.30.11.218 - port 8;Cisco 3750 10.30.0.2
161;"ООО ТТЦ ""Солитон""";Скорость-4096;46.29.73.2;46.29.73.1;255.255.255.252;46.29.73.0/30;46.29.73.3;200;EC 10.30.11.223 - port 4;Extreme 10.30.0.38
360;"ООО ТТЦ ""Солитон""";Скорость-4096;46.29.73.2;46.29.73.1;255.255.255.252;46.29.73.0/30;46.29.73.3;200;EdgeCORE (10.30.0.223) - port 4;Extreme 10.30.0.38
1914;ООО Медиасервис (был СамараИнформ);Скорость-20480;46.29.74.18-22;46.29.74.17;255.255.255.248;46.29.74.16/29;46.29.74.23;201;EC 10.30.11.225 - port 4;Cisco 3750 10.30.0.4 port 8
352;Арбитражный суд Самарской области (включен с Аэродромной оптикой);;46.29.76.230;46.29.76.229;255.255.255.252;46.29.76.228/30;46.29.76.231;202;EC 10.30.11.194 - port 24;Cisco 3750 10.30.0.4 port 3g
3073;ИП Пешкичева;Скорость-30М;46.29.76.54;46.29.76.53;255.255.255.252;46.29.76.52/30;46.29.76.55;203;EC 10.30.13.143 - port 15;Eltex 10.30.0.117
77;ИП Васильев В.В.;Скорость-512;46.29.76.86;46.29.76.85;255.255.255.252;46.29.76.84/30;46.29.76.87;204;EC 10.30.11.222 - port 4;Cisco 3750 10.30.0.4 port 6
317;"ООО ""Прайд""";Скорость-512;46.29.76.106;46.29.76.105;255.255.255.252;46.29.76.104/30;46.29.76.107;206;EC 10.30.11.209 - port 6;Cisco 3750 10.30.0.4 port 11
321;"ООО ""Гранд Макс""";Скорость-512;46.29.76.162;46.29.76.161;255.255.255.252;46.29.76.160/30;46.29.76.163;209;EC 10.30.11.232 - port 1;Cisco 3750 10.30.0.4 port 4
310;ИП Лонщакова Л.Т.;Скорость-5120;46.29.76.166;46.29.76.165;255.255.255.252;46.29.76.164/30;46.29.76.167;210;EC 10.30.11.229 - port 3;Cisco 3750 10.30.0.4 port 4
312;"ОАО ""ЛК Лизинг""";Скорость-512;46.29.76.190;46.29.76.189;255.255.255.252;46.29.76.188/30;46.29.76.191;213;EC 10.30.11.226 - port 2;Cisco 3750 10.30.0.8 port 20
335;"ЗАО ""Алькон-консалтинг""";Скорость-512;46.29.76.210;46.29.76.209;255.255.255.252;46.29.76.208/30;46.29.76.211;217;EdgeCORE (10.30.0.204) - port 2;C3750G (10.30.0.8-Port23) - TISIZ
3082;"ЗАО ""CTC Логистикс Транспорт"" (ip route 46.29.74.112 255.255.255.248  46.29.76.214)";Скорость-2048;46.29.74.113-118;;255.255.255.248;46.29.74.112/29;46.29.74.119;218;EC 10.30.11.216 - port 6;Eltex 10.30.0.195
3082;"ЗАО ""CTC Логистикс Транспорт""";Скорость-2048;46.29.76.214;46.29.76.213;255.255.255.252;46.29.76.212/30;46.29.76.215;218;EC 10.30.11.216 - port 6;Eltex 10.30.0.195
;ЗТИ (Абонент для Новосибирска);Канал связи (Гаражный проезд 2А - Стык с Линкей на Дачной 2);;;;;;223;Extreme 10.30.0.38 port 10 - EC 10.30.13.19 port 6;
3209;ООО Авангард 500;Скорость-5м;46.29.77.100;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.13.161 - port 3;Eltex 10.30.0.138
;;;46.29.77.101;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;;Eltex 10.30.0.138
;;;46.29.77.102;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;;Eltex 10.30.0.138
441;"ООО ""ВолгаУралСпецстрой""";Скорость-6144;46.29.77.103;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.228 - port 1;Eltex 10.30.0.138
1535;ООО Образ;Скорость-512;46.29.77.104;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.151 - port 28;Eltex 10.30.0.138
1858;ООО Мегастрой;Скорость-2048;46.29.77.105;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.12.193 - port 10;Eltex 10.30.0.138
353;"ООО ГЦОТ ""Аврора-110""";Скорость-1024;46.29.77.106;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.228 - port 2;Eltex 10.30.0.138
3199;ИП Логинов;Скорость-1024;46.29.77.107;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.13.253 - port 2;Eltex 10.30.0.138
720;ИП Кудрявцев Максим Александрович;Скорость-3072;46.29.77.108;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.220 - port 5;Eltex 10.30.0.138
1660;"Некомерческое партнёрство ""Управляющая компания Губанова-3""";Скорость-4096;46.29.77.109;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.209 - port 11;Eltex 10.30.0.138
3133;Управляющая компания Дом Молодежи;Скорость-10240;46.29.77.110;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.12.51 - port 1;cisco 10.30.0.138
519;ИП Кузнецов Алексей Аркадьевич;Скорость-1024;46.29.77.111;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.227 - port 1;Eltex 10.30.0.138
710;ИП Кузнецов Дмитрий Александрович;Скорость-1024;46.29.77.112;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.178 - port 2;Eltex 10.30.0.138
2790;ООО Добрый Мастер;Скорость-4М;46.29.77.113;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;Eltex 10.30.12.221 - port 1;Eltex 10.30.0.138
2612;ЖЭУ-2;Скорость-1024;46.29.77.114;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.219 - port 14;Eltex 10.30.0.138
519;ИП Кузнецов Алексей Аркадьевич (второй ip ???);;46.29.77.115;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.227 - port 1;Eltex 10.30.0.138
636;Государственная жилищная инспекция Самарской области;Скорость-10240;46.29.77.116;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.228 - port 4;Eltex 10.30.0.138
1735;ООО ЛНК НГБ;Скорость-3072;46.29.77.117;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.220 - port 4;Eltex 10.30.0.138
515;Промышленные выставки Поволжья (Wi-Fi);Скорость-100М;46.29.77.118;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.205 - port 6;Eltex 10.30.0.138
2927;ООО ЕФСХ;Скорость-6М;46.29.77.119;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.13.181 - port 5;Eltex 10.30.0.138
569;"ООО ""Регион-С""";Скорость-1024;46.29.77.120;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.227 - port 3;Eltex 10.30.0.138
215;ИП Пугачев Е.А.;Скорость-512;46.29.77.121;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.208 - port 18;Eltex 10.30.0.138
2999;ООО Ника (был ЗАО Клевер);Скорость-15360;46.29.77.122;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;Eltex 10.30.0.85 - port 16;Eltex 10.30.0.138
1308;ИП Лобанова;Скорость-1024;46.29.77.123;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.227 - port 5;Eltex 10.30.0.138
573;Самарские коммунвльные системы (Телеком-СБ) Волжский проспект 6;Скорость-10240;46.29.77.124;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.13.52 - port 2;Eltex 10.30.0.138
3210;ООО Аклен;Скорость-2М;46.29.77.125;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.227 - port 9;Eltex 10.30.0.138
1242;Теплокомфорт;Скорость-5120;46.29.77.126;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.12.51 - port 2;Eltex 10.30.0.138
557;Семёнова (приостановлен);;46.29.77.98;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;;Eltex 10.30.0.138
3215;ГК ЮНИТ;Скорость-2М;46.29.77.99;46.29.77.97;255.255.255.224;46.29.77.96/27;46.29.77.127;224;EC 10.30.11.220 - port 6;Eltex 10.30.0.138
402;"занят под SMG2016 ( был ООО ""ХКФ Банк"")";Скорость-256;46.29.77.74;46.29.77.73;255.255.255.252;46.29.78.0/27;46.29.77.75;226;EC 10.30.11.203 - port 16;Eltex 10.30.0.138
;ООО Независимый кадастровый центр;Скорость-1024;46.29.77.130;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.30.11.218 - port 17;Cisco 3750 10.30.0.2
772;ООО Дом Денег;Скорость-1024;46.29.77.131 и 151;46.29.77.129;255.255.255.224;46.29.78.0/27;46.29.77.159;227;EC 10.30.13.135 - port 1;Cisco 3750 10.30.0.2
998;Шмидт;Скорость-10240;46.29.77.132;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.30.11.218 - port 17;Cisco 3750 10.30.0.2
3208;" ИП Нестерова Ю. В. (был ООО ""Мебелль"")";Скорость-1024;46.29.77.133;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.30.11.217 - port 5;Cisco 3750 10.30.0.2
2450;"ООО ""ТКФ +""";Скорость-512;46.29.77.134;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.30.11.238 - port 2;Cisco 3750 10.30.0.2
465;"ООО ""ДИЗЕЛЬ""";Скорость-1024;46.29.77.135;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.31.11.230 - port 2;Cisco 3750 10.30.0.2
2304;ООО АВРОРА;Скорость-512;46.29.77.136;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.30.11.232 - port 6;Cisco 3750 10.30.0.2
486;"ООО ""Нова""";Скорость-512;46.29.77.137;46.29.77.129;255.255.255.224;46.29.77.128/27;46.29.77.159;227;EC 10.30.13.229 - port 2;Cisco 3750 10.30.0.2
